Job_ID,Batch_Quantity,Arrival_Timestamp,S1_Wait_Min,S1_Service_Min,S2_Wait_Min,S2_Service_Min,S3_Wait_Min,S3_Service_Min,S4_Wait_Min,S4_Service_Min,Total_Wait_Min,Total_Service_Min,Total_Flow_Min,Scrap_Pct
163,6240,2026-03-09 12:48:00,7,65,11,55,9,70,4,17,31,207,238,1.80
164,3640,2026-03-09 13:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
165,8540,2026-03-09 13:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
166,4940,2026-03-09 14:00:00,5,51,9,43,6,55,3,15,23,164,187,1.40
167,2370,2026-03-09 14:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
168,8810,2026-03-09 14:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85
169,6040,2026-03-09 15:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75
170,4240,2026-03-09 15:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
171,7540,2026-03-09 16:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25
172,3240,2026-03-09 16:24:00,3,34,6,28,4,36,2,12,15,110,125,0.90
173,9170,2026-03-09 16:48:00,11,96,16,81,14,103,6,24,47,304,351,3.10
174,5270,2026-03-09 17:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
175,2670,2026-03-09 17:36:00,2,28,4,23,3,30,1,11,10,92,102,0.80
176,8070,2026-03-10 08:00:00,9,84,14,71,11,90,5,21,39,266,305,2.50
177,4470,2026-03-10 08:24:00,4,47,8,39,6,50,2,14,20,150,170,1.20
178,6270,2026-03-10 08:48:00,7,65,11,55,9,70,4,17,31,207,238,1.80
179,3670,2026-03-10 09:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
180,8570,2026-03-10 09:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
181,4970,2026-03-10 10:00:00,5,52,9,43,6,55,3,15,23,165,188,1.40
182,2400,2026-03-10 10:24:00,2,25,4,21,3,27,1,10,10,83,93,0.70
183,8840,2026-03-10 10:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85
184,6070,2026-03-10 11:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75
185,4270,2026-03-10 11:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
186,7570,2026-03-10 12:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25
187,3270,2026-03-10 12:24:00,3,34,6,28,4,36,2,12,15,110,125,0.90
188,9200,2026-03-10 12:48:00,11,96,16,81,14,103,6,24,47,304,351,3.10
189,5300,2026-03-10 13:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
190,2700,2026-03-10 13:36:00,2,28,4,23,3,30,1,11,10,92,102,0.80
191,8100,2026-03-10 14:00:00,9,84,14,71,11,90,5,21,39,266,305,2.50
192,4500,2026-03-10 14:24:00,5,47,9,40,6,51,2,14,22,152,174,1.25
193,6300,2026-03-10 14:48:00,7,66,12,55,9,71,4,18,32,210,242,1.85
194,3700,2026-03-10 15:12:00,4,39,7,32,5,42,2,13,18,126,144,1.05
195,8600,2026-03-10 15:36:00,10,90,15,75,12,96,5,22,42,283,325,2.75
196,5000,2026-03-10 16:00:00,5,52,9,44,6,56,3,15,23,167,190,1.45
197,2300,2026-03-10 16:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
198,7700,2026-03-10 16:48:00,9,80,13,67,10,86,4,20,36,253,289,2.30
199,4100,2026-03-10 17:12:00,4,43,8,36,5,46,2,13,19,138,157,1.15
200,9400,2026-03-10 17:36:00,12,99,17,84,15,106,6,24,50,313,363,3.25
201,2900,2026-03-11 08:00:00,3,31,5,26,3,33,1,11,12,101,113,0.85
202,6500,2026-03-11 08:24:00,8,68,12,57,9,73,4,18,33,216,249,1.95
203,4800,2026-03-11 08:48:00,5,50,9,42,6,54,3,15,23,161,184,1.35
204,8300,2026-03-11 09:12:00,10,87,14,73,12,94,5,21,41,275,316,2.65
205,2200,2026-03-11 09:36:00,2,23,4,19,3,25,1,10,10,77,87,0.65
206,7050,2026-03-11 10:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05
207,3400,2026-03-11 10:24:00,3,36,6,30,4,38,2,12,15,116,131,0.95
208,9100,2026-03-11 10:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05
209,5200,2026-03-11 11:12:00,6,54,10,46,7,59,3,16,26,175,201,1.60
210,2600,2026-03-11 11:36:00,2,27,4,23,3,30,1,11,10,91,101,0.80
211,8000,2026-03-11 12:00:00,9,83,14,70,11,89,5,21,39,263,302,2.50
212,4400,2026-03-11 12:24:00,4,46,8,39,6,49,2,14,20,148,168,1.20
213,6200,2026-03-11 12:48:00,7,65,11,54,9,70,4,17,31,206,237,1.80
214,3600,2026-03-11 13:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
215,8500,2026-03-11 13:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
216,4900,2026-03-11 14:00:00,5,51,9,43,6,55,3,15,23,164,187,1.40
217,2330,2026-03-11 14:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
218,8770,2026-03-11 14:48:00,10,91,15,77,13,98,5,23,43,289,332,2.85
219,6000,2026-03-11 15:12:00,7,62,11,52,8,68,4,17,30,199,229,1.70
220,4200,2026-03-11 15:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
221,7500,2026-03-11 16:00:00,8,78,13,66,10,83,4,19,35,246,281,2.20
222,3200,2026-03-11 16:24:00,3,33,6,27,4,36,2,12,15,108,123,0.90
223,9130,2026-03-11 16:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05
224,5230,2026-03-11 17:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
225,2630,2026-03-11 17:36:00,2,27,4,23,3,30,1,11,10,91,101,0.80
226,8030,2026-03-12 08:00:00,9,84,14,70,11,90,5,21,39,265,304,2.50
227,4430,2026-03-12 08:24:00,4,46,8,39,6,50,2,14,20,149,169,1.20
228,6230,2026-03-12 08:48:00,7,65,11,55,9,70,4,17,31,207,238,1.80
229,3630,2026-03-12 09:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
230,8530,2026-03-12 09:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
231,4930,2026-03-12 10:00:00,5,51,9,43,6,55,3,15,23,164,187,1.40
232,2360,2026-03-12 10:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
233,8800,2026-03-12 10:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85
234,6030,2026-03-12 11:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75
235,4230,2026-03-12 11:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
236,7530,2026-03-12 12:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25
237,3230,2026-03-12 12:24:00,3,34,6,28,4,36,2,12,15,110,125,0.90
238,9160,2026-03-12 12:48:00,11,96,16,81,14,103,6,24,47,304,351,3.10
239,5260,2026-03-12 13:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
240,2660,2026-03-12 13:36:00,2,28,4,23,3,30,1,11,10,92,102,0.80
241,8060,2026-03-12 14:00:00,9,84,14,71,11,90,5,21,39,266,305,2.50
242,4460,2026-03-12 14:24:00,4,47,8,39,6,50,2,14,20,150,170,1.20
243,6260,2026-03-12 14:48:00,7,65,11,55,9,70,4,17,31,207,238,1.80
244,3660,2026-03-12 15:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
245,8560,2026-03-12 15:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
246,4960,2026-03-12 16:00:00,5,52,9,43,6,55,3,15,23,165,188,1.40
247,2390,2026-03-12 16:24:00,2,25,4,21,3,27,1,10,10,83,93,0.70
248,8830,2026-03-12 16:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85
249,6060,2026-03-12 17:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75
250,4260,2026-03-12 17:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
251,7560,2026-03-13 08:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25
252,3260,2026-03-13 08:24:00,3,34,6,28,4,36,2,12,15,110,125,0.90
253,9190,2026-03-13 08:48:00,11,96,16,81,14,103,6,24,47,304,351,3.10
254,5290,2026-03-13 09:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
255,2690,2026-03-13 09:36:00,2,28,4,23,3,30,1,11,10,92,102,0.80
256,8090,2026-03-13 10:00:00,9,84,14,71,11,90,5,21,39,266,305,2.50
257,4490,2026-03-13 10:24:00,5,47,9,40,6,51,2,14,22,152,174,1.25
258,6290,2026-03-13 10:48:00,7,66,12,55,9,71,4,18,32,210,242,1.85
259,3690,2026-03-13 11:12:00,4,39,7,32,5,42,2,13,18,126,144,1.05
260,8590,2026-03-13 11:36:00,10,90,15,75,12,96,5,22,42,283,325,2.75
261,4990,2026-03-13 12:00:00,5,52,9,44,6,56,3,15,23,167,190,1.45
262,2420,2026-03-13 12:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
263,8860,2026-03-13 12:48:00,9,80,13,67,10,86,4,20,36,253,289,2.30
264,6090,2026-03-13 13:12:00,4,43,8,36,5,46,2,13,19,138,157,1.15
265,4290,2026-03-13 13:36:00,12,99,17,84,15,106,6,24,50,313,363,3.25
266,7590,2026-03-13 14:00:00,3,31,5,26,3,33,1,11,12,101,113,0.85
267,3290,2026-03-13 14:24:00,8,68,12,57,9,73,4,18,33,216,249,1.95
268,9220,2026-03-13 14:48:00,5,50,9,42,6,54,3,15,23,161,184,1.35
269,5320,2026-03-13 15:12:00,10,87,14,73,12,94,5,21,41,275,316,2.65
270,2720,2026-03-13 15:36:00,2,23,4,19,3,25,1,10,10,77,87,0.65
271,8120,2026-03-13 16:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05
272,4520,2026-03-13 16:24:00,3,36,6,30,4,38,2,12,15,116,131,0.95
273,6320,2026-03-13 16:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05
274,3720,2026-03-13 17:12:00,6,54,10,46,7,59,3,16,26,175,201,1.60
275,8620,2026-03-13 17:36:00,2,27,4,23,3,30,1,11,10,91,101,0.80
276,5020,2026-03-16 08:00:00,9,83,14,70,11,89,5,21,39,263,302,2.50
277,2320,2026-03-16 08:24:00,4,46,8,39,6,49,2,14,20,148,168,1.20
278,7720,2026-03-16 08:48:00,7,65,11,54,9,70,4,17,31,206,237,1.80
279,4120,2026-03-16 09:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
280,9420,2026-03-16 09:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
281,2920,2026-03-16 10:00:00,5,51,9,43,6,55,3,15,23,164,187,1.40
282,6520,2026-03-16 10:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
283,4820,2026-03-16 10:48:00,10,91,15,77,13,98,5,23,43,289,332,2.85
284,8320,2026-03-16 11:12:00,7,62,11,52,8,68,4,17,30,199,229,1.70
285,2220,2026-03-16 11:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
286,7070,2026-03-16 12:00:00,8,78,13,66,10,83,4,19,35,246,281,2.20
287,3420,2026-03-16 12:24:00,3,33,6,27,4,36,2,12,15,108,123,0.90
288,9120,2026-03-16 12:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05
289,5220,2026-03-16 13:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
290,2620,2026-03-16 13:36:00,2,27,4,23,3,30,1,11,10,91,101,0.80
291,8020,2026-03-16 14:00:00,9,84,14,70,11,90,5,21,39,265,304,2.50
292,4420,2026-03-16 14:24:00,4,46,8,39,6,50,2,14,20,149,169,1.20
293,6220,2026-03-16 14:48:00,7,65,11,55,9,70,4,17,31,207,238,1.80
294,3620,2026-03-16 15:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
295,8520,2026-03-16 15:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
296,4920,2026-03-16 16:00:00,5,51,9,43,6,55,3,15,23,164,187,1.40
297,2350,2026-03-16 16:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
298,8790,2026-03-16 16:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85
299,6020,2026-03-16 17:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75
300,4220,2026-03-16 17:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
301,7520,2026-03-17 08:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25
302,3220,2026-03-17 08:24:00,3,34,6,28,4,36,2,12,15,110,125,0.90
303,9150,2026-03-17 08:48:00,11,96,16,81,14,103,6,24,47,304,351,3.10
304,5250,2026-03-17 09:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
305,2650,2026-03-17 09:36:00,2,28,4,23,3,30,1,11,10,92,102,0.80
306,8050,2026-03-17 10:00:00,9,84,14,71,11,90,5,21,39,266,305,2.50
307,4450,2026-03-17 10:24:00,4,47,8,39,6,50,2,14,20,150,170,1.20
308,6250,2026-03-17 10:48:00,7,65,11,55,9,70,4,17,31,207,238,1.80
309,3650,2026-03-17 11:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
310,8550,2026-03-17 11:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
311,4950,2026-03-17 12:00:00,5,52,9,43,6,55,3,15,23,165,188,1.40
