Job_ID,Batch_Quantity,Arrival_Timestamp,S1_Wait_Min,S1_Service_Min,S2_Wait_Min,S2_Service_Min,S3_Wait_Min,S3_Service_Min,S4_Wait_Min,S4_Service_Min,Total_Wait_Min,Total_Service_Min,Total_Flow_Min,Scrap_Pct,Inter_Arrival_Min,Calculated_Wait_Min,Calculated_Service_Min,Calculated_Flow_Min,Wait_Error,Service_Error,Flow_Error,Batch_Group,Arrival_Hour
55,2600,2026-03-03 09:38:00,2,27,4,23,3,30,1,11,10,91,101,0.8,24.0,10,91,101,0,0,0,"(2099.999, 3680.0]",2026-03-03 09:00:00
56,8100,2026-03-03 10:02:00,9,85,14,71,11,91,5,21,39,268,307,2.55,24.0,39,268,307,0,0,0,"(8000.0, 9600.0]",2026-03-03 10:00:00
57,4400,2026-03-03 10:26:00,4,46,8,39,6,49,2,14,20,148,168,1.2,24.0,20,148,168,0,0,0,"(3680.0, 5255.0]",2026-03-03 10:00:00
58,6200,2026-03-03 10:50:00,7,65,11,54,9,70,4,17,31,206,237,1.8,24.0,31,206,237,0,0,0,"(5255.0, 8000.0]",2026-03-03 10:00:00
59,3700,2026-03-03 11:15:00,4,39,7,32,5,42,2,13,18,126,144,1.05,25.0,18,126,144,0,0,0,"(3680.0, 5255.0]",2026-03-03 11:00:00
60,8600,2026-03-03 11:39:00,10,90,15,75,12,96,5,22,42,283,325,2.75,24.0,42,283,325,0,0,0,"(8000.0, 9600.0]",2026-03-03 11:00:00
61,5000,2026-03-03 12:02:00,5,52,9,44,6,56,3,15,23,167,190,1.45,23.0,23,167,190,0,0,0,"(3680.0, 5255.0]",2026-03-03 12:00:00
62,2300,2026-03-03 12:25:00,2,24,4,20,3,26,1,10,10,80,90,0.7,23.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-03 12:00:00
63,7700,2026-03-03 12:49:00,9,80,13,67,10,86,4,20,36,253,289,2.3,24.0,36,253,289,0,0,0,"(5255.0, 8000.0]",2026-03-03 12:00:00
64,4150,2026-03-03 13:14:00,4,43,8,36,5,46,2,13,19,138,157,1.15,25.0,19,138,157,0,0,0,"(3680.0, 5255.0]",2026-03-03 13:00:00
65,9400,2026-03-03 13:38:00,12,99,17,84,15,106,6,24,50,313,363,3.25,24.0,50,313,363,0,0,0,"(8000.0, 9600.0]",2026-03-03 13:00:00
66,2950,2026-03-03 14:02:00,3,31,5,26,3,33,1,11,12,101,113,0.85,24.0,12,101,113,0,0,0,"(2099.999, 3680.0]",2026-03-03 14:00:00
67,6600,2026-03-03 14:26:00,8,69,12,58,9,74,4,18,33,219,252,2.0,24.0,33,219,252,0,0,0,"(5255.0, 8000.0]",2026-03-03 14:00:00
68,4700,2026-03-03 14:50:00,5,49,9,41,6,53,3,15,23,158,181,1.3,24.0,23,158,181,0,0,0,"(3680.0, 5255.0]",2026-03-03 14:00:00
69,8300,2026-03-03 15:15:00,10,87,14,73,12,94,5,21,41,275,316,2.65,25.0,41,275,316,0,0,0,"(8000.0, 9600.0]",2026-03-03 15:00:00
70,2250,2026-03-03 15:40:00,2,23,4,19,3,25,1,10,10,77,87,0.65,25.0,10,77,87,0,0,0,"(2099.999, 3680.0]",2026-03-03 15:00:00
71,7100,2026-03-03 16:04:00,8,74,12,62,9,79,4,19,33,234,267,2.1,24.0,33,234,267,0,0,0,"(5255.0, 8000.0]",2026-03-03 16:00:00
72,3400,2026-03-03 16:28:00,3,36,6,30,4,38,2,12,15,116,131,0.95,24.0,15,116,131,0,0,0,"(2099.999, 3680.0]",2026-03-03 16:00:00
73,9200,2026-03-03 16:52:00,11,97,17,82,14,104,6,24,48,307,355,3.15,24.0,48,307,355,0,0,0,"(8000.0, 9600.0]",2026-03-03 16:00:00
74,5500,2026-03-03 17:16:00,6,57,10,48,7,62,3,16,26,183,209,1.65,24.0,26,183,209,0,0,0,"(5255.0, 8000.0]",2026-03-03 17:00:00
75,2850,2026-03-03 17:40:00,2,29,5,25,3,32,1,11,11,97,108,0.85,24.0,11,97,108,0,0,0,"(2099.999, 3680.0]",2026-03-03 17:00:00
76,7900,2026-03-04 08:00:00,9,82,13,69,11,88,5,21,38,260,298,2.4,860.0,38,260,298,0,0,0,"(5255.0, 8000.0]",2026-03-04 08:00:00
77,4550,2026-03-04 08:24:00,5,47,9,40,6,51,2,14,22,152,174,1.25,24.0,22,152,174,0,0,0,"(3680.0, 5255.0]",2026-03-04 08:00:00
78,6400,2026-03-04 08:48:00,7,67,12,56,9,72,4,18,32,213,245,1.9,24.0,32,213,245,0,0,0,"(5255.0, 8000.0]",2026-03-04 08:00:00
79,3750,2026-03-04 09:12:00,4,39,7,33,5,42,2,13,18,127,145,1.0,24.0,18,127,145,0,0,0,"(3680.0, 5255.0]",2026-03-04 09:00:00
80,8750,2026-03-04 09:36:00,10,91,15,77,13,98,5,23,43,289,332,2.85,24.0,43,289,332,0,0,0,"(8000.0, 9600.0]",2026-03-04 09:00:00
81,5150,2026-03-04 10:00:00,6,54,10,45,7,58,3,16,26,173,199,1.5,24.0,26,173,199,0,0,0,"(3680.0, 5255.0]",2026-03-04 10:00:00
82,2350,2026-03-04 10:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-04 10:00:00
83,7650,2026-03-04 10:48:00,9,80,13,67,10,85,4,20,36,252,288,2.3,24.0,36,252,288,0,0,0,"(5255.0, 8000.0]",2026-03-04 10:00:00
84,4050,2026-03-04 11:12:00,4,42,8,35,5,45,2,13,19,135,154,1.1,24.0,19,135,154,0,0,0,"(3680.0, 5255.0]",2026-03-04 11:00:00
85,9550,2026-03-04 11:36:00,12,100,18,85,15,108,7,25,52,318,370,3.3,24.0,52,318,370,0,0,0,"(8000.0, 9600.0]",2026-03-04 11:00:00
86,3050,2026-03-04 12:00:00,3,32,5,27,3,34,1,11,12,104,116,0.9,24.0,12,104,116,0,0,0,"(2099.999, 3680.0]",2026-03-04 12:00:00
87,6550,2026-03-04 12:24:00,8,68,12,57,9,73,4,18,33,216,249,1.95,24.0,33,216,249,0,0,0,"(5255.0, 8000.0]",2026-03-04 12:00:00
88,4850,2026-03-04 12:48:00,5,51,9,42,6,54,3,15,23,162,185,1.35,24.0,23,162,185,0,0,0,"(3680.0, 5255.0]",2026-03-04 12:00:00
89,8350,2026-03-04 13:12:00,10,87,14,73,12,94,5,21,41,275,316,2.65,24.0,41,275,316,0,0,0,"(8000.0, 9600.0]",2026-03-04 13:00:00
90,2150,2026-03-04 13:36:00,2,22,4,18,2,24,1,10,9,74,83,0.6,24.0,9,74,83,0,0,0,"(2099.999, 3680.0]",2026-03-04 13:00:00
91,7050,2026-03-04 14:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05,24.0,33,230,263,0,0,0,"(5255.0, 8000.0]",2026-03-04 14:00:00
92,3450,2026-03-04 14:24:00,3,36,6,30,4,38,2,12,15,116,131,0.95,24.0,15,116,131,0,0,0,"(2099.999, 3680.0]",2026-03-04 14:00:00
93,9150,2026-03-04 14:48:00,11,96,16,80,14,102,6,23,47,301,348,3.1,24.0,47,301,348,0,0,0,"(8000.0, 9600.0]",2026-03-04 14:00:00
94,5250,2026-03-04 15:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(3680.0, 5255.0]",2026-03-04 15:00:00
95,2650,2026-03-04 15:36:00,2,27,4,23,3,30,1,11,10,91,101,0.8,24.0,10,91,101,0,0,0,"(2099.999, 3680.0]",2026-03-04 15:00:00
96,8050,2026-03-04 16:00:00,9,84,14,70,11,90,5,21,39,265,304,2.5,24.0,39,265,304,0,0,0,"(8000.0, 9600.0]",2026-03-04 16:00:00
97,4450,2026-03-04 16:24:00,4,46,8,39,6,50,2,14,20,149,169,1.2,24.0,20,149,169,0,0,0,"(3680.0, 5255.0]",2026-03-04 16:00:00
98,6250,2026-03-04 16:48:00,7,65,11,55,9,70,4,17,31,207,238,1.8,24.0,31,207,238,0,0,0,"(5255.0, 8000.0]",2026-03-04 16:00:00
99,3650,2026-03-04 17:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-04 17:00:00
100,8550,2026-03-04 17:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-04 17:00:00
101,4950,2026-03-05 08:00:00,5,51,9,43,6,55,3,15,23,164,187,1.4,864.0,23,164,187,0,0,0,"(3680.0, 5255.0]",2026-03-05 08:00:00
102,2380,2026-03-05 08:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-05 08:00:00
103,8820,2026-03-05 08:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85,24.0,43,291,334,0,0,0,"(8000.0, 9600.0]",2026-03-05 08:00:00
104,6050,2026-03-05 09:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75,24.0,30,201,231,0,0,0,"(5255.0, 8000.0]",2026-03-05 09:00:00
105,4250,2026-03-05 09:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15,24.0,20,141,161,0,0,0,"(3680.0, 5255.0]",2026-03-05 09:00:00
106,7550,2026-03-05 10:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25,24.0,35,249,284,0,0,0,"(5255.0, 8000.0]",2026-03-05 10:00:00
107,3250,2026-03-05 10:24:00,3,34,6,28,4,36,2,12,15,110,125,0.9,24.0,15,110,125,0,0,0,"(2099.999, 3680.0]",2026-03-05 10:00:00
108,9180,2026-03-05 10:48:00,11,96,16,81,14,103,6,24,47,304,351,3.1,24.0,47,304,351,0,0,0,"(8000.0, 9600.0]",2026-03-05 10:00:00
109,5280,2026-03-05 11:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(5255.0, 8000.0]",2026-03-05 11:00:00
110,2680,2026-03-05 11:36:00,2,28,4,23,3,30,1,11,10,92,102,0.8,24.0,10,92,102,0,0,0,"(2099.999, 3680.0]",2026-03-05 11:00:00
111,8080,2026-03-05 12:00:00,9,84,14,71,11,90,5,21,39,266,305,2.5,24.0,39,266,305,0,0,0,"(8000.0, 9600.0]",2026-03-05 12:00:00
112,4480,2026-03-05 12:24:00,4,47,8,39,6,50,2,14,20,150,170,1.2,24.0,20,150,170,0,0,0,"(3680.0, 5255.0]",2026-03-05 12:00:00
113,6280,2026-03-05 12:48:00,7,65,11,55,9,70,4,17,31,207,238,1.8,24.0,31,207,238,0,0,0,"(5255.0, 8000.0]",2026-03-05 12:00:00
114,3680,2026-03-05 13:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-05 13:00:00
115,8580,2026-03-05 13:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-05 13:00:00
116,4980,2026-03-05 14:00:00,5,52,9,43,6,55,3,15,23,165,188,1.4,24.0,23,165,188,0,0,0,"(3680.0, 5255.0]",2026-03-05 14:00:00
117,2410,2026-03-05 14:24:00,2,25,4,21,3,27,1,10,10,83,93,0.7,24.0,10,83,93,0,0,0,"(2099.999, 3680.0]",2026-03-05 14:00:00
118,8850,2026-03-05 14:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85,24.0,43,291,334,0,0,0,"(8000.0, 9600.0]",2026-03-05 14:00:00
119,6080,2026-03-05 15:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75,24.0,30,201,231,0,0,0,"(5255.0, 8000.0]",2026-03-05 15:00:00
120,4280,2026-03-05 15:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15,24.0,20,141,161,0,0,0,"(3680.0, 5255.0]",2026-03-05 15:00:00
121,7580,2026-03-05 16:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25,24.0,35,249,284,0,0,0,"(5255.0, 8000.0]",2026-03-05 16:00:00
122,3280,2026-03-05 16:24:00,3,34,6,28,4,36,2,12,15,110,125,0.9,24.0,15,110,125,0,0,0,"(2099.999, 3680.0]",2026-03-05 16:00:00
123,9210,2026-03-05 16:48:00,11,96,16,81,14,103,6,24,47,304,351,3.1,24.0,47,304,351,0,0,0,"(8000.0, 9600.0]",2026-03-05 16:00:00
124,5310,2026-03-05 17:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(5255.0, 8000.0]",2026-03-05 17:00:00
125,2710,2026-03-05 17:36:00,2,28,4,23,3,30,1,11,10,92,102,0.8,24.0,10,92,102,0,0,0,"(2099.999, 3680.0]",2026-03-05 17:00:00
126,8110,2026-03-06 08:00:00,9,84,14,71,11,90,5,21,39,266,305,2.5,864.0,39,266,305,0,0,0,"(8000.0, 9600.0]",2026-03-06 08:00:00
127,4510,2026-03-06 08:24:00,5,47,9,40,6,51,2,14,22,152,174,1.25,24.0,22,152,174,0,0,0,"(3680.0, 5255.0]",2026-03-06 08:00:00
128,6310,2026-03-06 08:48:00,7,66,12,55,9,71,4,18,32,210,242,1.85,24.0,32,210,242,0,0,0,"(5255.0, 8000.0]",2026-03-06 08:00:00
129,3710,2026-03-06 09:12:00,4,39,7,32,5,42,2,13,18,126,144,1.05,24.0,18,126,144,0,0,0,"(3680.0, 5255.0]",2026-03-06 09:00:00
130,8610,2026-03-06 09:36:00,10,90,15,75,12,96,5,22,42,283,325,2.75,24.0,42,283,325,0,0,0,"(8000.0, 9600.0]",2026-03-06 09:00:00
131,5010,2026-03-06 10:00:00,5,52,9,44,6,56,3,15,23,167,190,1.45,24.0,23,167,190,0,0,0,"(3680.0, 5255.0]",2026-03-06 10:00:00
132,2310,2026-03-06 10:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-06 10:00:00
133,7710,2026-03-06 10:48:00,9,80,13,67,10,86,4,20,36,253,289,2.3,24.0,36,253,289,0,0,0,"(5255.0, 8000.0]",2026-03-06 10:00:00
134,4110,2026-03-06 11:12:00,4,43,8,36,5,46,2,13,19,138,157,1.15,24.0,19,138,157,0,0,0,"(3680.0, 5255.0]",2026-03-06 11:00:00
135,9410,2026-03-06 11:36:00,12,99,17,84,15,106,6,24,50,313,363,3.25,24.0,50,313,363,0,0,0,"(8000.0, 9600.0]",2026-03-06 11:00:00
136,2910,2026-03-06 12:00:00,3,31,5,26,3,33,1,11,12,101,113,0.85,24.0,12,101,113,0,0,0,"(2099.999, 3680.0]",2026-03-06 12:00:00
137,6510,2026-03-06 12:24:00,8,68,12,57,9,73,4,18,33,216,249,1.95,24.0,33,216,249,0,0,0,"(5255.0, 8000.0]",2026-03-06 12:00:00
138,4810,2026-03-06 12:48:00,5,50,9,42,6,54,3,15,23,161,184,1.35,24.0,23,161,184,0,0,0,"(3680.0, 5255.0]",2026-03-06 12:00:00
139,8310,2026-03-06 13:12:00,10,87,14,73,12,94,5,21,41,275,316,2.65,24.0,41,275,316,0,0,0,"(8000.0, 9600.0]",2026-03-06 13:00:00
140,2210,2026-03-06 13:36:00,2,23,4,19,3,25,1,10,10,77,87,0.65,24.0,10,77,87,0,0,0,"(2099.999, 3680.0]",2026-03-06 13:00:00
141,7060,2026-03-06 14:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05,24.0,33,230,263,0,0,0,"(5255.0, 8000.0]",2026-03-06 14:00:00
142,3410,2026-03-06 14:24:00,3,36,6,30,4,38,2,12,15,116,131,0.95,24.0,15,116,131,0,0,0,"(2099.999, 3680.0]",2026-03-06 14:00:00
143,9110,2026-03-06 14:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05,24.0,47,300,347,0,0,0,"(8000.0, 9600.0]",2026-03-06 14:00:00
144,5210,2026-03-06 15:12:00,6,54,10,46,7,59,3,16,26,175,201,1.6,24.0,26,175,201,0,0,0,"(3680.0, 5255.0]",2026-03-06 15:00:00
145,2610,2026-03-06 15:36:00,2,27,4,23,3,30,1,11,10,91,101,0.8,24.0,10,91,101,0,0,0,"(2099.999, 3680.0]",2026-03-06 15:00:00
146,8010,2026-03-06 16:00:00,9,83,14,70,11,89,5,21,39,263,302,2.5,24.0,39,263,302,0,0,0,"(8000.0, 9600.0]",2026-03-06 16:00:00
147,4410,2026-03-06 16:24:00,4,46,8,39,6,49,2,14,20,148,168,1.2,24.0,20,148,168,0,0,0,"(3680.0, 5255.0]",2026-03-06 16:00:00
148,6210,2026-03-06 16:48:00,7,65,11,54,9,70,4,17,31,206,237,1.8,24.0,31,206,237,0,0,0,"(5255.0, 8000.0]",2026-03-06 16:00:00
149,3610,2026-03-06 17:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-06 17:00:00
150,8510,2026-03-06 17:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-06 17:00:00
151,4910,2026-03-09 08:00:00,5,51,9,43,6,55,3,15,23,164,187,1.4,3744.0,23,164,187,0,0,0,"(3680.0, 5255.0]",2026-03-09 08:00:00
152,2340,2026-03-09 08:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-09 08:00:00
153,8780,2026-03-09 08:48:00,10,91,15,77,13,98,5,23,43,289,332,2.85,24.0,43,289,332,0,0,0,"(8000.0, 9600.0]",2026-03-09 08:00:00
154,6010,2026-03-09 09:12:00,7,62,11,52,8,68,4,17,30,199,229,1.7,24.0,30,199,229,0,0,0,"(5255.0, 8000.0]",2026-03-09 09:00:00
155,4210,2026-03-09 09:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15,24.0,20,141,161,0,0,0,"(3680.0, 5255.0]",2026-03-09 09:00:00
